,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2311702,casos_est_2311702,casos_est_min_2311702,casos_est_max_2311702,p_rt1_2311702,p_inc100k_2311702,temp_min_2311702,temp_max_2311702,umid_min_2311702,pressao_min_2311702,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2306306,casos_est_2306306,casos_est_min_2306306,casos_est_max_2306306,p_rt1_2306306,p_inc100k_2306306,temp_min_2306306,temp_max_2306306,umid_min_2306306,pressao_min_2306306
2013-04-21,627,627.0,627,627,0.7733217,23.337944,25.285714285714285,30.857142857142858,51.42857142857143,878.8571428571429,80,80.0,80,80,0.9999805,435.13733,25.285714285714285,30.857142857142858,51.42857142857143,878.8571428571429,109,109.0,109,109,0.6013739,47.503246,25.285714285714285,30.857142857142858,51.42857142857143,878.8571428571429,3,3.0,3,3,0.47687387,5.6532307,25.285714285714285,30.857142857142858,51.42857142857143,878.8571428571429
2013-04-28,557,557.0,557,557,0.013319983,20.732431,24.285714285714285,29.714285714285715,56.57142857142857,1009.0,47,47.0,47,47,0.58174056,255.64319,24.285714285714285,29.714285714285715,56.57142857142857,1009.0,99,99.0,99,99,0.15522432,43.14515,24.285714285714285,29.714285714285715,56.57142857142857,1009.0,2,2.0,2,2,0.3159303,3.7688205,24.285714285714285,29.714285714285715,56.57142857142857,1009.0
2013-05-05,549,549.0,549,549,0.028542463,20.434658,24.714285714285715,30.0,50.714285714285715,879.5714285714286,32,32.0,32,32,0.008664528,174.05493,24.714285714285715,30.0,50.714285714285715,879.5714285714286,102,102.0,102,102,0.2985273,44.45258,24.714285714285715,30.0,50.714285714285715,879.5714285714286,2,2.0,2,2,0.36260423,3.7688205,24.714285714285715,30.0,50.714285714285715,879.5714285714286
2013-05-12,582,582.0,582,582,0.5538518,21.662971,25.142857142857142,30.857142857142858,49.285714285714285,1010.4285714285714,54,54.0,54,54,0.64062315,293.7177,25.142857142857142,30.857142857142858,49.285714285714285,1010.4285714285714,101,101.0,101,101,0.43690595,44.01677,25.142857142857142,30.857142857142858,49.285714285714285,1010.4285714285714,0,0.0,0,0,0.0,0.0,25.142857142857142,30.857142857142858,49.285714285714285,1010.4285714285714
2013-05-19,694,694.0,694,694,0.999785,25.83179,24.714285714285715,29.571428571428573,57.142857142857146,880.1428571428571,16,16.0,16,16,0.00018757484,87.027466,24.714285714285715,29.571428571428573,57.142857142857146,880.1428571428571,135,135.0,135,135,0.98182356,58.834297,24.714285714285715,29.571428571428573,57.142857142857146,880.1428571428571,0,0.0,0,0,0.0,0.0,24.714285714285715,29.571428571428573,57.142857142857146,880.1428571428571
2013-05-26,585,585.0,585,585,0.3582652,21.774637,24.142857142857142,29.857142857142858,56.0,1009.7142857142857,17,17.0,17,17,0.0027715848,92.46668,24.142857142857142,29.857142857142858,56.0,1009.7142857142857,121,121.0,121,121,0.7654556,52.732964,24.142857142857142,29.857142857142858,56.0,1009.7142857142857,0,0.0,0,0,0.0,0.0,24.142857142857142,29.857142857142858,56.0,1009.7142857142857
2013-06-02,663,663.0,663,663,0.84038424,24.677921,24.0,30.285714285714285,48.285714285714285,1010.0,34,34.0,34,34,0.80408263,184.93336,24.0,30.285714285714285,48.285714285714285,1010.0,174,174.0,174,174,0.99853677,75.83087,24.0,30.285714285714285,48.285714285714285,1010.0,2,2.0,2,2,0.9517953,3.7688205,24.0,30.285714285714285,48.285714285714285,1010.0
2013-06-09,676,676.0,676,676,0.8873341,25.161802,23.571428571428573,29.428571428571427,52.42857142857143,881.4285714285714,28,28.0,28,28,0.7386039,152.29807,23.571428571428573,29.428571428571427,52.42857142857143,881.4285714285714,133,133.0,133,133,0.4239818,57.962677,23.571428571428573,29.428571428571427,52.42857142857143,881.4285714285714,1,1.0,1,1,0.6844095,1.8844103,23.571428571428573,29.428571428571427,52.42857142857143,881.4285714285714
2013-06-16,721,721.0,721,721,0.97472656,26.836775,24.142857142857142,29.428571428571427,53.57142857142857,1011.2857142857143,63,63.0,63,63,0.9998465,342.67065,24.142857142857142,29.428571428571427,53.57142857142857,1011.2857142857143,201,201.0,201,201,0.99711293,87.59773,24.142857142857142,29.428571428571427,53.57142857142857,1011.2857142857143,0,0.0,0,0,0.0,0.0,24.142857142857142,29.428571428571427,53.57142857142857,1011.2857142857143
2013-06-23,619,619.0,619,619,0.06736361,23.04017,23.714285714285715,29.285714285714285,53.714285714285715,1010.5714285714286,44,44.0,44,44,0.74689627,239.32553,23.714285714285715,29.285714285714285,53.714285714285715,1010.5714285714286,160,160.0,160,160,0.5093445,69.72954,23.714285714285715,29.285714285714285,53.714285714285715,1010.5714285714286,0,0.0,0,0,0.0,0.0,23.714285714285715,29.285714285714285,53.714285714285715,1010.5714285714286
