,casos_2611002,casos_est_2611002,casos_est_min_2611002,casos_est_max_2611002,p_rt1_2611002,p_inc100k_2611002,temp_min_2611002,temp_max_2611002,umid_min_2611002,pressao_min_2611002,casos_2611606,casos_est_2611606,casos_est_min_2611606,casos_est_max_2611606,p_rt1_2611606,p_inc100k_2611606,temp_min_2611606,temp_max_2611606,umid_min_2611606,pressao_min_2611606,casos_2610707,casos_est_2610707,casos_est_min_2610707,casos_est_max_2610707,p_rt1_2610707,p_inc100k_2610707,temp_min_2610707,temp_max_2610707,umid_min_2610707,pressao_min_2610707,casos_2609600,casos_est_2609600,casos_est_min_2609600,casos_est_max_2609600,p_rt1_2609600,p_inc100k_2609600,temp_min_2609600,temp_max_2609600,umid_min_2609600,pressao_min_2609600,casos_2600054,casos_est_2600054,casos_est_min_2600054,casos_est_max_2600054,p_rt1_2600054,p_inc100k_2600054,temp_min_2600054,temp_max_2600054,umid_min_2600054,pressao_min_2600054
2011-01-09,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.574188,29.352499714285717,62.76253714285714,0.99574069
2011-01-16,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.638397142857144,29.220637714285715,65.29418142857142,0.9958862785714285
2011-01-23,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.29610314285714,28.043208571428572,73.2278687142857,0.9947586771428572
2011-01-30,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,23.81751385714286,28.182381714285714,74.54720771428572,0.9970360442857142
2011-02-06,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.759145166666666,29.4776865,67.583067,0.9966371516666667
2011-02-13,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.809688142857144,29.812818285714286,66.64582685714286,0.9970836585714286
2011-02-20,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.326978285714286,28.556405285714284,71.03085257142857,0.9965297571428572
2011-02-27,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.530543857142856,28.902888571428573,73.510165,0.9959580942857142
2011-03-06,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.554011,29.834304833333334,65.05307733333333,0.995422585
2011-03-13,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.96418542857143,29.57501214285714,70.71091428571428,0.99531957
2011-03-20,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.925275571428568,30.560184999999997,64.160232,0.9961326128571429
2011-03-27,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.362304714285717,30.446167,66.06467457142857,0.9957230971428571
2011-04-03,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.358861166666667,30.611867166666666,64.7076285,0.9966894433333334
