data_iniSE,casos_3302601,casos_3302700,casos_3303401,casos_3303500,casos_3303609,casos_3303807,casos_3303906,casos_3304003,casos_3304102,casos_3304755,casos_3304805,casos_3303856,casos_3300456,casos_3301157,casos_3300100,casos_3300159,casos_3300209,casos_3300225,casos_3300233,casos_3300258,casos_3300308,casos_3302304,casos_3302403,casos_3300506,casos_3300902,casos_3300936,casos_3300951,casos_3303203,casos_3301207,casos_3301504,casos_3301603,casos_3301801,casos_3302452,casos_3301850,casos_3301876,casos_3302056,casos_3302254,casos_3303708,casos_3302270,casos_3302502,casos_3302809,casos_3302858,casos_3303005,casos_3303955,casos_3304110,casos_3304144,casos_3304151,casos_3304904,casos_3305000,casos_3305109,casos_3305133,casos_3305208,casos_3305505,casos_3305554,casos_3305752,casos_3306008,casos_3306305,casos_3304607,casos_3304706,casos_3300407,casos_3300605,casos_3300704,casos_3300803,casos_3301009,casos_3301108,casos_3301306,casos_3301405,casos_3301702,casos_3302908,casos_3301900,casos_3302007,casos_3302106,casos_3302205,casos_3303104,casos_3303302,casos_3304128,casos_3304201,casos_3304300,casos_3304409,casos_3304508,casos_3304524,casos_3304557,casos_3305158,casos_3305307,casos_3305406,casos_3305604,casos_3305703,casos_3305802,casos_3305901,casos_3306107,casos_3306156,casos_3306206
2010-10-31,0,0,0,6,0,4,1,0,0,0,6,0,6,1,9,0,15,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,6,0,6,0,0,0,0,0,0,1,0,0,0,9,7,0,54,0,0,0,5,0,4,1,0,0,0,5,1,0,1,0,2,0,72,0,0,0,0,0,0,0,0,0,0
2010-11-07,2,0,0,1,0,0,0,0,0,0,1,0,6,1,8,0,2,0,0,0,0,0,3,0,2,0,0,2,1,0,0,0,0,4,1,0,0,0,0,42,0,2,0,0,0,0,0,2,0,11,0,0,0,0,0,1,0,0,4,0,5,13,0,39,0,2,0,11,0,8,1,1,0,0,7,2,0,6,0,0,1,72,0,0,0,0,0,0,0,0,0,0
2010-11-14,2,6,3,6,0,0,2,0,0,0,3,0,5,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,54,0,2,0,0,1,2,0,1,0,15,0,0,0,0,0,0,4,0,1,0,2,10,1,70,0,1,0,20,0,10,3,0,1,0,12,2,0,2,0,0,0,89,0,0,0,0,0,0,0,0,0,0
2010-11-21,0,1,1,4,0,4,2,0,6,0,1,0,13,0,6,0,6,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,102,0,0,0,0,0,1,0,3,0,13,0,0,0,1,0,0,2,0,1,0,28,10,0,84,0,1,0,8,1,16,9,0,7,0,23,0,1,1,0,4,2,120,0,0,0,0,0,1,0,1,0,0
2010-11-28,5,8,4,6,1,2,1,0,5,0,5,0,14,0,8,0,2,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,85,0,0,0,0,1,2,0,5,0,36,0,0,0,2,1,0,7,0,4,0,31,12,0,65,0,3,0,18,1,31,5,1,23,0,29,0,3,0,0,0,0,150,0,0,0,0,0,1,0,2,0,1
2010-12-05,9,13,3,7,0,3,2,0,6,0,12,0,9,0,3,0,10,0,0,0,1,0,6,0,0,0,0,2,2,1,0,0,0,2,1,0,0,0,0,109,0,1,0,0,0,3,0,24,1,26,0,0,0,3,0,0,9,0,12,1,56,35,0,67,1,4,0,29,1,20,8,4,47,0,44,0,3,2,0,0,5,178,0,0,0,1,0,0,0,8,0,1
2010-12-12,7,20,4,5,1,2,2,0,3,0,11,1,7,1,10,0,8,0,0,0,0,0,7,0,0,0,0,2,3,3,0,0,0,0,1,0,0,0,1,156,0,0,0,1,0,2,0,5,0,21,0,0,0,4,2,0,4,0,13,7,46,25,0,61,0,2,2,26,0,19,10,2,31,1,52,0,4,4,0,0,0,233,0,0,0,1,0,2,0,7,0,0
2010-12-19,4,12,4,8,0,1,5,0,4,0,2,0,4,0,13,0,15,0,0,0,0,0,3,0,3,0,0,3,2,1,1,0,1,0,1,1,0,0,0,83,0,0,0,0,1,0,0,23,0,23,0,0,0,2,2,0,4,0,24,4,54,11,0,36,0,2,0,27,0,47,8,2,13,0,27,0,1,4,0,0,1,186,0,0,0,0,0,1,0,11,0,1
2010-12-26,4,17,3,3,0,2,9,1,37,0,3,0,6,2,1,0,13,0,0,1,0,0,10,0,0,0,0,2,3,2,0,0,0,2,3,4,0,0,0,30,0,1,0,2,1,5,1,8,0,15,0,0,4,1,3,1,4,0,25,0,41,11,0,59,4,29,0,33,1,22,5,4,6,2,30,0,2,5,0,0,6,151,0,0,0,0,0,2,0,6,0,3
2011-01-02,4,17,2,34,0,0,3,1,0,0,8,1,25,0,20,0,18,0,0,0,0,0,3,0,9,0,0,13,0,3,0,0,0,3,6,5,1,0,4,80,2,12,2,0,0,2,0,12,0,37,2,2,4,17,0,1,12,0,41,1,149,15,0,102,6,1,0,60,1,37,2,7,22,0,39,0,6,7,0,0,11,319,1,0,0,2,0,3,0,5,0,4
2011-01-09,9,26,1,49,2,2,6,2,0,0,4,1,35,1,17,1,9,0,0,1,0,0,4,0,7,1,1,11,0,2,0,0,0,9,5,3,0,0,0,122,1,9,0,0,0,2,1,13,1,48,0,1,6,47,1,0,11,0,43,7,77,30,1,98,10,6,0,93,1,47,8,11,16,0,42,1,6,4,0,1,9,385,0,0,0,2,0,4,0,11,0,2
2011-01-16,11,23,3,59,2,1,13,4,1,2,3,0,41,1,40,1,12,0,1,0,1,0,3,0,10,0,0,17,1,4,0,1,0,23,0,3,3,0,1,219,2,28,1,0,1,3,0,17,0,74,0,3,11,66,1,2,8,0,47,5,157,38,0,89,12,3,0,110,0,58,10,14,15,0,47,0,1,13,0,0,11,388,1,0,0,1,0,4,0,12,1,5
2011-01-23,14,37,12,70,3,1,14,5,1,1,13,0,41,0,33,0,12,0,5,1,2,0,3,0,15,0,0,44,0,1,0,0,0,25,5,6,3,0,7,207,2,28,0,1,0,9,3,25,2,84,0,4,6,102,0,2,19,0,57,4,148,48,4,127,16,4,1,175,0,70,20,27,20,2,54,1,2,6,0,1,27,642,3,0,0,0,0,9,0,4,0,6
