,casos_2312403,casos_est_2312403,casos_est_min_2312403,casos_est_max_2312403,p_rt1_2312403,p_inc100k_2312403,temp_min_2312403,temp_max_2312403,umid_min_2312403,pressao_min_2312403,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709
2017-03-12,71,71.0,71,71,0.85981864,145.28638,25.0,27.428571428571427,82.0,1008.8571428571429,192,192.0,192,192,0.058153745,52.572205,25.0,27.428571428571427,82.0,1008.8571428571429
2017-03-19,95,95.0,95,95,0.99270266,194.39726,25.0,27.428571428571427,80.42857142857143,1009.8571428571429,279,279.0,279,279,0.98466057,76.39398,25.0,27.428571428571427,80.42857142857143,1009.8571428571429
2017-03-26,57,57.0,57,57,0.08070352,116.63836,24.714285714285715,26.571428571428573,85.42857142857143,1010.7142857142857,231,231.0,231,231,0.5271651,63.250935,24.714285714285715,26.571428571428573,85.42857142857143,1010.7142857142857
2017-04-02,56,56.0,56,56,0.04335075,114.59207,24.857142857142858,27.0,87.71428571428571,1010.2857142857143,156,156.0,156,156,2.3567049e-05,42.714916,24.857142857142858,27.0,87.71428571428571,1010.2857142857143
2017-04-09,57,57.0,57,57,0.19600415,116.63836,25.714285714285715,27.857142857142858,77.71428571428571,1009.5714285714286,106,106.0,106,106,4.2803572e-10,29.024239,25.714285714285715,27.857142857142858,77.71428571428571,1009.5714285714286
2017-04-16,46,46.0,46,46,0.12102912,94.1292,24.857142857142858,27.142857142857142,75.28571428571429,1009.7142857142857,65,65.0,65,65,1.7570168e-11,17.797882,24.857142857142858,27.142857142857142,75.28571428571429,1009.7142857142857
2017-04-23,29,29.0,29,29,0.004206176,59.342323,25.714285714285715,27.714285714285715,83.0,879.7142857142857,52,52.0,52,52,9.075168e-07,14.238305,25.714285714285715,27.714285714285715,83.0,879.7142857142857
2017-04-30,48,48.0,48,48,0.621011,98.22178,25.142857142857142,27.428571428571427,82.14285714285714,1010.0,40,40.0,40,40,0.0003794979,10.952542,25.142857142857142,27.428571428571427,82.14285714285714,1010.0
2017-05-07,41,41.0,41,41,0.5506285,83.897766,25.0,27.714285714285715,80.28571428571429,1010.2857142857143,31,31.0,31,31,0.0054017166,8.48822,25.0,27.714285714285715,80.28571428571429,1010.2857142857143
2017-05-14,26,26.0,26,26,0.03859671,53.20346,25.428571428571427,27.428571428571427,80.85714285714286,1010.4285714285714,28,28.0,28,28,0.050471105,7.66678,25.428571428571427,27.428571428571427,80.85714285714286,1010.4285714285714
2017-05-21,9,9.0,9,9,9.768126e-06,18.416584,25.857142857142858,28.0,75.57142857142857,1010.7142857142857,20,20.0,20,20,0.03509168,5.476271,25.857142857142858,28.0,75.57142857142857,1010.7142857142857
