geocode,name_muni,name_region,code_region,name_macro,code_macro,state
3512001,Colina,Norte - Barretos,35051,RRAS13,3530,SP
3512100,Colômbia,Norte - Barretos,35051,RRAS13,3530,SP
3512209,Conchal,Araras,35101,RRAS14,3529,SP
3512407,Cordeirópolis,Limeira,35102,RRAS14,3529,SP
3512506,Coroados,Consórcios do DRS II,35023,RRAS12,3531,SP
3513108,Cravinhos,Aquífero Guarani,35132,RRAS13,3530,SP
2805802,Riachão do Dantas,Lagarto,28004,Macro Única,2801,SE
3513306,Cruzália,Assis,35092,RRAS10,3533,SP
3513405,Cruzeiro,Circ. da Fé e Vale Histórico,35172,RRAS17,3526,SP
3513504,Cubatão,Baixada Santista,35041,RRAS7,3520,SP
3515194,Espírito Santo do Turvo,Ourinhos,35094,RRAS10,3533,SP
3513801,Diadema,Grande ABC,35015,RRAS1,3534,SP
2806404,Santana do São Francisco,Propriá,28007,Macro Única,2801,SE
3513850,Dirce Reis,Jales,35153,RRAS12,3531,SP
3513900,Divinolândia,Rio Pardo,35143,RRAS15,3528,SP
3514007,Dobrada,Norte do DRS III,35033,RRAS13,3530,SP
3515350,Euclides da Cunha Paulista,Pontal do Paranapanema,35115,RRAS11,3532,SP
3514205,Dolcinópolis,Jales,35153,RRAS12,3531,SP
3514304,Dourado,Coração do DRS III,35034,RRAS13,3530,SP
3514502,Duartina,Bauru,35062,RRAS9,3518,SP
3514601,Dumont,Horizonte Verde,35131,RRAS13,3530,SP
3514908,Elias Fausto,Piracicaba,35103,RRAS14,3529,SP
3514924,Elisiário,Catanduva,35151,RRAS12,3531,SP
2807303,Telha,Propriá,28007,Macro Única,2801,SE
2807402,Tobias Barreto,Lagarto,28004,Macro Única,2801,SE
3514957,Embaúba,Catanduva,35151,RRAS12,3531,SP
3515004,Embu das Artes,Mananciais,35013,RRAS4,3523,SP
3515129,Emilianópolis,Alta Sorocabana,35112,RRAS11,3532,SP
3515152,Engenheiro Coelho,Limeira,35102,RRAS14,3529,SP
